surival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,age_group,Family_size,family_size
0,3,male,-0.5691640681164485,1,0,-0.5280326650334237,S,Third,man,True,Southampton,no,False,Youth,small,1
1,1,female,0.5987112701367212,1,0,0.6979560284475276,C,First,woman,False,Cherbourg,yes,False,Middle,small,1
1,3,female,-0.27719523355315595,0,0,-0.5151090398555921,S,Third,woman,False,Southampton,yes,True,Youth,small,0
1,1,female,0.37973464421425174,1,0,0.34981654149039465,S,First,woman,False,Southampton,yes,False,Middle,small,1
0,3,male,0.37973464421425174,0,0,-0.5127157759337715,S,Third,man,True,Southampton,no,True,Middle,small,0
0,3,male,-0.0071884664720878915,0,0,-0.5048984186595366,Q,Third,man,True,Queenstown,no,True,Youth,small,0
0,1,male,1.766586608389891,0,0,0.3261232286643701,S,First,man,True,Southampton,no,True,Old,small,0
0,3,male,-2.0290082409329098,3,1,-0.2633376752800587,S,Third,child,False,Southampton,no,False,kids,small,4
1,3,female,-0.20420302491233291,0,2,-0.45368257073257434,S,Third,woman,False,Southampton,yes,False,Youth,small,2
1,2,female,-1.153101737243033,1,0,-0.09110308657674429,C,Second,child,False,Cherbourg,yes,False,Child,small,1
1,3,female,-1.883023823651264,1,1,-0.3471019125437818,S,Third,child,False,Southampton,yes,False,kids,small,2
1,1,female,2.0585554429531836,0,0,-0.1585127155043137,S,First,woman,False,Southampton,yes,True,Old,small,0
0,3,male,-0.7151484853980944,0,0,-0.5127157759337715,S,Third,man,True,Southampton,no,True,Youth,small,0
0,3,male,0.6717034787775442,1,5,-0.06804733925949275,S,Third,man,True,Southampton,no,False,Middle,small,6
0,3,female,-1.153101737243033,0,0,-0.5164645845409114,S,Third,child,False,Southampton,no,True,Child,small,0
1,2,female,1.8395788170307141,0,0,-0.36050419050597743,S,Second,woman,False,Southampton,yes,True,Old,small,0
0,3,male,-2.0290082409329098,4,1,-0.10921147871480806,Q,Third,child,False,Queenstown,no,False,kids,small,5
1,2,male,-0.0071884664720878915,0,0,-0.41794252462967335,S,Second,man,True,Southampton,yes,True,Youth,small,0
0,3,female,0.08776580965095956,1,0,-0.3222119677568469,S,Third,woman,False,Southampton,no,False,Middle,small,1
1,3,female,-0.0071884664720878915,0,0,-0.5285113178177879,C,Third,woman,False,Cherbourg,yes,True,Youth,small,0
0,2,male,0.37973464421425174,0,0,-0.1690430767603246,S,Second,man,True,Southampton,no,True,Middle,small,0
1,2,male,0.3067424355734287,0,0,-0.41794252462967335,S,Second,man,True,Southampton,yes,True,Middle,small,0
1,3,female,-1.0801095286022098,0,0,-0.5131140150503625,Q,Third,child,False,Queenstown,yes,True,Child,small,0
1,1,male,-0.13121081627150988,0,0,0.012844981298045685,S,First,man,True,Southampton,yes,True,Youth,small,0
0,3,female,-1.5910549890879713,3,1,-0.2633376752800587,S,Third,child,False,Southampton,no,False,kids,small,4
1,3,female,0.5987112701367212,1,5,-0.06589340172985411,S,Third,woman,False,Southampton,yes,False,Middle,small,6
0,3,male,-0.0071884664720878915,0,0,-0.5285113178177879,C,Third,man,True,Cherbourg,no,True,Youth,small,0
0,1,male,-0.7881406940389174,3,2,4.3685853190116495,S,First,man,True,Southampton,no,False,Youth,small,5
1,3,female,-0.0071884664720878915,0,0,-0.5159859317565473,Q,Third,woman,False,Queenstown,yes,True,Youth,small,0
0,3,male,-0.0071884664720878915,0,0,-0.5156681063077294,S,Third,man,True,Southampton,no,True,Youth,small,0
0,1,male,0.7446956874183672,0,0,-0.13609644830697265,C,First,man,True,Cherbourg,no,True,Middle,small,0
1,1,female,-0.0071884664720878915,1,0,2.138461582991384,C,First,woman,False,Cherbourg,yes,False,Youth,small,1
1,3,female,-0.0071884664720878915,0,0,-0.5184596093461411,Q,Third,woman,False,Queenstown,yes,True,Youth,small,0
0,2,male,2.642493112079768,0,0,-0.46580780306608655,S,Second,man,True,Southampton,no,True,Old,small,0
0,1,male,-0.13121081627150988,1,0,0.9064093160381074,C,First,man,True,Cherbourg,no,False,Youth,small,1
0,1,male,0.8906801047000137,1,0,0.3287558189783729,S,First,man,True,Southampton,no,False,Middle,small,1
1,3,male,-0.0071884664720878915,0,0,-0.5284309041500147,C,Third,man,True,Cherbourg,yes,True,Youth,small,0
0,3,male,-0.6421562767572715,0,0,-0.5127157759337715,S,Third,man,True,Southampton,no,True,Youth,small,0
0,3,female,-0.8611329026797405,2,0,-0.3222119677568469,S,Third,woman,False,Southampton,no,False,Child,small,2
1,3,female,-1.153101737243033,1,0,-0.4516071322595715,C,Third,child,False,Cherbourg,yes,False,Child,small,1
0,3,female,0.7446956874183672,1,0,-0.48543256722501593,S,Third,woman,False,Southampton,no,False,Middle,small,1
0,2,female,-0.20420302491233291,1,0,-0.26477363363315104,S,Second,woman,False,Southampton,no,False,Youth,small,1
0,3,male,-0.0071884664720878915,0,0,-0.5156681063077294,C,Third,man,True,Cherbourg,no,True,Youth,small,0
1,2,female,-1.956016032292087,1,2,0.12923802156630293,C,Second,child,False,Cherbourg,yes,False,kids,small,3
1,3,female,-0.7881406940389174,0,0,-0.5159859317565473,Q,Third,woman,False,Queenstown,yes,True,Youth,small,0
